date,category,shop_id,item_id,item_cnt_day
2013-01-01,2,927,165081,30.0
2013-01-01,3,209,78426,7.0
2013-01-01,4,291,51048,10.0
2013-01-01,5,323,67084,12.0
2013-01-01,6,534,109547,13.0
2013-01-01,11,185,67384,5.0
2013-01-01,13,19,6668,1.0
2013-01-01,14,96,20096,2.0
2013-01-01,15,124,34137,4.0
2013-01-01,19,4254,846124,151.0
2013-01-01,21,1855,405091,69.0
2013-01-01,22,690,95987,26.0
2013-01-01,23,2050,298989,64.0
2013-01-01,25,427,65966,10.0
2013-01-01,28,1539,323505,67.0
2013-01-01,29,180,31708,7.0
2013-01-01,30,6669,1378154,294.0
2013-01-01,33,69,15951,2.0
2013-01-01,35,210,34934,11.0
2013-01-01,37,2346,1017431,76.0
2013-01-01,38,866,420856,29.0
2013-01-01,40,14215,6182499,491.0
2013-01-01,41,603,257263,17.0
2013-01-01,43,797,330993,21.0
2013-01-01,45,282,1662,6.0
2013-01-01,49,145,31152,5.0
2013-01-01,55,5417,1620622,170.0
2013-01-01,56,28,7282,1.0
2013-01-01,57,1144,325060,28.0
2013-01-01,58,91,8526,2.0
2013-01-01,59,923,223670,28.0
2013-01-01,60,81,9912,2.0
2013-01-01,61,108,38965,2.0
2013-01-01,62,1229,491581,39.0
2013-01-01,63,684,297265,21.0
2013-01-01,64,352,223377,14.0
2013-01-01,65,372,206913,13.0
2013-01-01,66,275,107524,9.0
2013-01-01,67,1563,360430,53.0
2013-01-01,69,406,111440,9.0
2013-01-01,70,388,119849,13.0
2013-01-01,71,55,27196,29.0
2013-01-01,72,287,246004,11.0
2013-01-01,73,50,1452,3.0
2013-01-01,75,388,88991,17.0
2013-01-01,77,115,2282,4.0
2013-01-01,79,7,17717,1.0
2013-01-01,81,51,13346,1.0
2013-01-01,82,118,40050,16.0
2013-01-01,83,399,220885,35.0
2013-01-02,2,1290,250150,41.0
2013-01-02,3,193,91497,8.0
2013-01-02,4,219,50669,5.0
2013-01-02,5,313,44726,8.0
2013-01-02,6,388,156814,21.0
2013-01-02,9,24,22743,4.0
2013-01-02,11,201,114511,10.0
2013-01-02,13,47,13334,2.0
2013-01-02,14,132,40279,3.0
2013-01-02,15,138,46856,6.0
2013-01-02,19,6943,1389712,264.0
2013-01-02,21,2141,517189,69.0
2013-01-02,22,850,132090,24.0
2013-01-02,23,3023,528476,117.0
2013-01-02,25,250,59346,9.0
2013-01-02,28,3246,729220,135.0
2013-01-02,29,97,12731,3.0
2013-01-02,30,11819,2493945,491.0
2013-01-02,33,156,55834,7.0
2013-01-02,35,139,23288,4.0
2013-01-02,37,6432,3746367,267.0
2013-01-02,38,1381,827203,55.0
2013-01-02,40,27509,14306310,1160.0
2013-01-02,41,1323,693789,51.0
2013-01-02,43,1122,501930,40.0
2013-01-02,45,228,2351,7.0
