ds,category,y
2013-01-01,2,30.0
2013-01-01,3,7.0
2013-01-01,4,10.0
2013-01-01,5,12.0
2013-01-01,6,13.0
2013-01-01,11,5.0
2013-01-01,13,1.0
2013-01-01,14,2.0
2013-01-01,15,4.0
2013-01-01,19,151.0
2013-01-01,21,69.0
2013-01-01,22,26.0
2013-01-01,23,64.0
2013-01-01,25,10.0
2013-01-01,28,67.0
2013-01-01,29,7.0
2013-01-01,30,294.0
2013-01-01,33,2.0
2013-01-01,35,11.0
2013-01-01,37,76.0
2013-01-01,38,29.0
2013-01-01,40,491.0
2013-01-01,41,17.0
2013-01-01,43,21.0
2013-01-01,45,6.0
2013-01-01,49,5.0
2013-01-01,55,170.0
2013-01-01,56,1.0
2013-01-01,57,28.0
2013-01-01,58,2.0
2013-01-01,59,28.0
2013-01-01,60,2.0
2013-01-01,61,2.0
2013-01-01,62,39.0
2013-01-01,63,21.0
2013-01-01,64,14.0
2013-01-01,65,13.0
2013-01-01,66,9.0
2013-01-01,67,53.0
2013-01-01,69,9.0
2013-01-01,70,13.0
2013-01-01,71,29.0
2013-01-01,72,11.0
2013-01-01,73,3.0
2013-01-01,75,17.0
2013-01-01,77,4.0
2013-01-01,79,1.0
2013-01-01,81,1.0
2013-01-01,82,16.0
2013-01-01,83,35.0
2013-01-02,2,41.0
2013-01-02,3,8.0
2013-01-02,4,5.0
2013-01-02,5,8.0
2013-01-02,6,21.0
2013-01-02,9,4.0
2013-01-02,11,10.0
2013-01-02,13,2.0
2013-01-02,14,3.0
2013-01-02,15,6.0
2013-01-02,19,264.0
2013-01-02,21,69.0
2013-01-02,22,24.0
2013-01-02,23,117.0
2013-01-02,25,9.0
2013-01-02,28,135.0
2013-01-02,29,3.0
2013-01-02,30,491.0
2013-01-02,33,7.0
2013-01-02,35,4.0
2013-01-02,37,267.0
2013-01-02,38,55.0
2013-01-02,40,1160.0
2013-01-02,41,51.0
2013-01-02,43,40.0
2013-01-02,45,7.0
2013-01-02,49,64.0
2013-01-02,55,317.0
2013-01-02,56,6.0
2013-01-02,57,51.0
2013-01-02,58,13.0
2013-01-02,59,26.0
2013-01-02,60,2.0
2013-01-02,61,2.0
2013-01-02,62,31.0
2013-01-02,63,32.0
2013-01-02,64,25.0
2013-01-02,65,47.0
2013-01-02,66,20.0
2013-01-02,67,101.0
2013-01-02,68,1.0
2013-01-02,69,11.0
2013-01-02,70,28.0
2013-01-02,72,22.0
2013-01-02,73,34.0
2013-01-02,75,80.0
2013-01-02,77,17.0
2013-01-02,79,2.0
2013-01-02,81,10.0
2013-01-02,82,46.0
2013-01-02,83,18.0
2013-01-03,2,18.0
2013-01-03,3,7.0
2013-01-03,4,9.0
2013-01-03,5,9.0
2013-01-03,6,25.0
2013-01-03,9,8.0
2013-01-03,11,8.0
2013-01-03,13,6.0
2013-01-03,14,3.0
2013-01-03,15,4.0
2013-01-03,19,283.0
2013-01-03,21,78.0
2013-01-03,22,18.0
2013-01-03,23,164.0
2013-01-03,25,19.0
2013-01-03,28,162.0
2013-01-03,29,11.0
2013-01-03,30,544.0
2013-01-03,33,5.0
2013-01-03,35,21.0
2013-01-03,37,153.0
2013-01-03,38,45.0
2013-01-03,40,1044.0
2013-01-03,41,43.0
2013-01-03,43,44.0
2013-01-03,45,12.0
2013-01-03,49,67.0
2013-01-03,55,453.0
2013-01-03,56,8.0
2013-01-03,57,58.0
2013-01-03,58,5.0
2013-01-03,59,14.0
2013-01-03,60,3.0
2013-01-03,61,2.0
2013-01-03,62,34.0
2013-01-03,63,36.0
2013-01-03,64,26.0
2013-01-03,65,80.0
2013-01-03,66,13.0
2013-01-03,67,76.0
2013-01-03,68,1.0
2013-01-03,69,18.0
2013-01-03,70,34.0
2013-01-03,71,1.0
2013-01-03,72,10.0
2013-01-03,73,37.0
2013-01-03,75,64.0
2013-01-03,77,11.0
2013-01-03,79,5.0
2013-01-03,81,4.0
2013-01-03,82,29.0
2013-01-03,83,14.0
2013-01-04,2,14.0
2013-01-04,3,7.0
2013-01-04,4,2.0
2013-01-04,5,9.0
2013-01-04,6,7.0
2013-01-04,9,6.0
2013-01-04,11,5.0
2013-01-04,13,2.0
2013-01-04,14,1.0
2013-01-04,15,4.0
2013-01-04,19,203.0
2013-01-04,21,40.0
2013-01-04,22,13.0
2013-01-04,23,98.0
2013-01-04,25,8.0
2013-01-04,28,163.0
2013-01-04,29,7.0
2013-01-04,30,477.0
2013-01-04,33,8.0
2013-01-04,35,19.0
2013-01-04,37,126.0
2013-01-04,38,14.0
2013-01-04,40,616.0
2013-01-04,41,31.0
2013-01-04,43,29.0
2013-01-04,45,4.0
2013-01-04,49,21.0
2013-01-04,55,241.0
2013-01-04,56,3.0
2013-01-04,57,39.0
2013-01-04,58,9.0
2013-01-04,59,16.0
2013-01-04,60,2.0
2013-01-04,61,3.0
2013-01-04,62,34.0
2013-01-04,63,26.0
2013-01-04,64,11.0
2013-01-04,65,34.0
2013-01-04,66,7.0
2013-01-04,67,25.0
2013-01-04,68,1.0
2013-01-04,69,10.0
2013-01-04,70,18.0
2013-01-04,72,9.0
2013-01-04,73,32.0
2013-01-04,75,70.0
2013-01-04,77,3.0
2013-01-04,79,3.0
2013-01-04,81,6.0
2013-01-04,82,22.0
2013-01-04,83,16.0
2013-01-05,2,14.0
2013-01-05,3,8.0
2013-01-05,4,11.0
2013-01-05,5,15.0
2013-01-05,6,16.0
2013-01-05,9,10.0
2013-01-05,11,9.0
2013-01-05,14,4.0
2013-01-05,15,2.0
2013-01-05,19,339.0
2013-01-05,21,106.0
2013-01-05,22,32.0
2013-01-05,23,165.0
2013-01-05,25,27.0
2013-01-05,28,171.0
2013-01-05,29,6.0
2013-01-05,30,684.0
2013-01-05,31,54.0
2013-01-05,33,9.0
2013-01-05,35,17.0
2013-01-05,37,303.0
2013-01-05,38,40.0
2013-01-05,40,1277.0
2013-01-05,41,49.0
2013-01-05,43,67.0
2013-01-05,45,10.0
2013-01-05,49,20.0
2013-01-05,55,566.0
2013-01-05,56,17.0
2013-01-05,57,81.0
2013-01-05,58,12.0
2013-01-05,59,32.0
2013-01-05,60,1.0
2013-01-05,61,2.0
2013-01-05,62,41.0
2013-01-05,63,48.0
2013-01-05,64,37.0
2013-01-05,65,55.0
2013-01-05,66,27.0
2013-01-05,67,71.0
2013-01-05,69,22.0
2013-01-05,70,65.0
2013-01-05,71,115.0
2013-01-05,72,24.0
2013-01-05,73,9.0
2013-01-05,75,55.0
2013-01-05,76,2.0
2013-01-05,77,19.0
2013-01-05,79,13.0
2013-01-05,81,5.0
2013-01-05,82,50.0
2013-01-05,83,29.0
2013-01-06,2,35.0
2013-01-06,3,5.0
2013-01-06,4,12.0
2013-01-06,5,17.0
2013-01-06,6,21.0
2013-01-06,11,13.0
2013-01-06,13,4.0
2013-01-06,14,8.0
2013-01-06,15,6.0
2013-01-06,19,450.0
2013-01-06,21,130.0
2013-01-06,22,42.0
2013-01-06,23,251.0
2013-01-06,25,62.0
2013-01-06,28,174.0
2013-01-06,29,23.0
2013-01-06,30,804.0
2013-01-06,31,8.0
2013-01-06,33,15.0
2013-01-06,35,17.0
2013-01-06,37,253.0
2013-01-06,38,24.0
2013-01-06,40,1452.0
2013-01-06,41,51.0
2013-01-06,43,62.0
2013-01-06,45,15.0
2013-01-06,49,14.0
2013-01-06,55,601.0
2013-01-06,56,8.0
2013-01-06,57,58.0
2013-01-06,58,17.0
2013-01-06,59,10.0
2013-01-06,60,3.0
2013-01-06,62,65.0
2013-01-06,63,153.0
2013-01-06,64,35.0
2013-01-06,65,92.0
2013-01-06,66,23.0
2013-01-06,67,58.0
2013-01-06,68,1.0
2013-01-06,69,19.0
2013-01-06,70,62.0
2013-01-06,71,397.0
2013-01-06,72,19.0
2013-01-06,73,7.0
2013-01-06,75,64.0
2013-01-06,76,3.0
2013-01-06,77,16.0
2013-01-06,79,2.0
2013-01-06,81,4.0
2013-01-06,82,33.0
2013-01-06,83,16.0
2013-01-07,2,14.0
2013-01-07,3,8.0
2013-01-07,4,17.0
2013-01-07,5,18.0
2013-01-07,6,14.0
2013-01-07,9,1.0
2013-01-07,11,8.0
2013-01-07,13,1.0
2013-01-07,14,5.0
2013-01-07,15,11.0
2013-01-07,19,248.0
2013-01-07,21,65.0
2013-01-07,22,41.0
2013-01-07,23,93.0
2013-01-07,25,11.0
2013-01-07,28,157.0
2013-01-07,29,40.0
2013-01-07,30,498.0
2013-01-07,31,22.0
2013-01-07,33,8.0
2013-01-07,35,12.0
2013-01-07,37,208.0
2013-01-07,38,26.0
2013-01-07,40,680.0
2013-01-07,41,39.0
2013-01-07,43,47.0
2013-01-07,45,7.0
2013-01-07,49,17.0
2013-01-07,54,2.0
2013-01-07,55,406.0
2013-01-07,56,6.0
2013-01-07,57,41.0
2013-01-07,58,13.0
2013-01-07,59,19.0
2013-01-07,60,1.0
2013-01-07,61,1.0
2013-01-07,62,22.0
2013-01-07,63,23.0
2013-01-07,64,16.0
2013-01-07,65,58.0
2013-01-07,66,13.0
2013-01-07,67,40.0
2013-01-07,69,16.0
2013-01-07,70,23.0
2013-01-07,71,224.0
2013-01-07,72,16.0
2013-01-07,73,17.0
2013-01-07,75,50.0
2013-01-07,76,2.0
2013-01-07,77,4.0
2013-01-07,78,1.0
2013-01-07,79,2.0
2013-01-07,81,6.0
2013-01-07,82,32.0
2013-01-07,83,21.0
2013-01-08,2,17.0
2013-01-08,3,12.0
2013-01-08,4,4.0
2013-01-08,5,12.0
2013-01-08,6,15.0
2013-01-08,9,12.0
2013-01-08,11,6.0
2013-01-08,14,6.0
2013-01-08,15,5.0
2013-01-08,19,273.0
2013-01-08,21,46.0
2013-01-08,22,24.0
2013-01-08,23,139.0
2013-01-08,25,16.0
2013-01-08,28,130.0
2013-01-08,29,10.0
2013-01-08,30,404.0
2013-01-08,31,7.0
2013-01-08,33,13.0
2013-01-08,35,8.0
2013-01-08,37,185.0
2013-01-08,38,29.0
2013-01-08,40,652.0
2013-01-08,41,18.0
2013-01-08,43,27.0
2013-01-08,45,8.0
2013-01-08,49,51.0
2013-01-08,54,1.0
2013-01-08,55,434.0
2013-01-08,56,4.0
2013-01-08,57,43.0
2013-01-08,58,4.0
2013-01-08,59,19.0
2013-01-08,60,3.0
2013-01-08,62,32.0
2013-01-08,63,58.0
2013-01-08,64,32.0
2013-01-08,65,54.0
2013-01-08,66,6.0
2013-01-08,67,40.0
2013-01-08,69,16.0
2013-01-08,70,25.0
2013-01-08,71,191.0
2013-01-08,72,14.0
2013-01-08,73,21.0
2013-01-08,75,34.0
2013-01-08,76,3.0
2013-01-08,77,5.0
2013-01-08,78,2.0
2013-01-08,79,2.0
2013-01-08,82,28.0
2013-01-08,83,18.0
2013-01-09,2,23.0
2013-01-09,3,9.0
2013-01-09,4,6.0
2013-01-09,5,9.0
2013-01-09,6,34.0
2013-01-09,9,2.0
2013-01-09,11,4.0
2013-01-09,14,3.0
2013-01-09,15,12.0
2013-01-09,19,496.0
2013-01-09,21,72.0
2013-01-09,22,24.0
2013-01-09,23,329.0
2013-01-09,25,46.0
2013-01-09,28,314.0
2013-01-09,29,37.0
2013-01-09,30,922.0
2013-01-09,31,11.0
2013-01-09,32,10.0
2013-01-09,33,18.0
2013-01-09,35,24.0
2013-01-09,37,275.0
2013-01-09,38,50.0
2013-01-09,40,1145.0
2013-01-09,41,42.0
2013-01-09,43,29.0
2013-01-09,45,4.0
2013-01-09,49,2.0
2013-01-09,55,510.0
2013-01-09,56,8.0
2013-01-09,57,44.0
2013-01-09,58,15.0
2013-01-09,59,16.0
2013-01-09,61,1.0
2013-01-09,62,55.0
2013-01-09,63,45.0
2013-01-09,64,27.0
2013-01-09,65,108.0
2013-01-09,66,13.0
2013-01-09,67,53.0
2013-01-09,69,44.0
2013-01-09,70,56.0
2013-01-09,71,324.0
2013-01-09,72,37.0
2013-01-09,73,7.0
2013-01-09,75,70.0
2013-01-09,76,3.0
2013-01-09,77,5.0
2013-01-09,79,3.0
2013-01-09,81,2.0
2013-01-09,82,19.0
2013-01-09,83,22.0
2013-01-10,2,14.0
2013-01-10,3,8.0
2013-01-10,4,3.0
2013-01-10,5,6.0
2013-01-10,6,21.0
2013-01-10,9,1.0
2013-01-10,11,10.0
2013-01-10,14,2.0
2013-01-10,15,5.0
2013-01-10,19,421.0
2013-01-10,21,17.0
2013-01-10,22,11.0
2013-01-10,23,152.0
2013-01-10,25,17.0
2013-01-10,28,74.0
2013-01-10,29,7.0
2013-01-10,30,518.0
2013-01-10,31,18.0
2013-01-10,32,11.0
2013-01-10,33,12.0
2013-01-10,35,19.0
2013-01-10,37,130.0
2013-01-10,38,21.0
2013-01-10,40,551.0
2013-01-10,41,16.0
2013-01-10,43,32.0
2013-01-10,45,2.0
2013-01-10,49,40.0
2013-01-10,54,5.0
2013-01-10,55,271.0
2013-01-10,56,6.0
2013-01-10,57,36.0
2013-01-10,58,11.0
2013-01-10,59,4.0
2013-01-10,60,1.0
2013-01-10,61,1.0
2013-01-10,62,22.0
2013-01-10,63,26.0
2013-01-10,64,20.0
2013-01-10,65,28.0
2013-01-10,67,21.0
2013-01-10,68,1.0
2013-01-10,69,24.0
2013-01-10,70,13.0
2013-01-10,71,211.0
2013-01-10,72,13.0
2013-01-10,73,17.0
2013-01-10,75,41.0
2013-01-10,76,7.0
2013-01-10,77,2.0
